time,scaleWeight,scaleUnit
1651213234.9432755,54.0,g
1651213235.9466977,54.0,g
1651213236.9490745,54.0,g
1651213237.9531138,54.0,g
1651213238.9614906,54.0,g
1651213239.970749,54.0,g
1651213240.9712956,54.0,g
1651213241.9724543,53.99,g
1651213242.9737282,54.0,g
1651213243.9758477,54.0,g
1651213244.976752,54.0,g
1651213245.9844236,54.0,g
1651213246.9894092,54.0,g
1651213248.0036008,54.0,g
1651213249.0110376,54.0,g
1651213250.0244598,54.0,g
1651213251.0339313,54.0,g
1651213252.0464482,54.0,g
1651213253.049145,54.0,g
1651213254.049558,54.0,g
1651213255.0554647,54.0,g
1651213256.0557654,54.0,g
1651213257.0572147,54.0,g
1651213258.0714617,53.99,g
1651213259.0754035,53.99,g
1651213260.0877166,53.99,g
1651213261.0915658,53.99,g
1651213262.103894,53.99,g
1651213263.1069613,53.99,g
1651213264.1133661,53.99,g
1651213265.1198552,53.99,g
1651213266.1219454,53.99,g
1651213267.1224368,53.99,g
1651213268.1231027,53.99,g
1651213269.128202,53.99,g
1651213270.1376328,53.99,g
1651213271.1394365,53.99,g
1651213272.1494012,53.99,g
1651213273.1567116,53.99,g
1651213274.1583896,53.99,g
1651213275.162989,53.99,g
1651213276.16534,53.98,g
1651213277.166694,53.98,g
1651213278.172195,53.98,g
1651213279.1780252,53.98,g
1651213280.1783626,53.98,g
1651213281.1803358,53.98,g
1651213282.1892574,53.98,g
1651213283.190447,53.98,g
1651213284.2017012,53.98,g
1651213285.2027931,53.98,g
1651213286.212609,53.98,g
1651213287.2212493,53.98,g
1651213288.2356925,53.98,g
1651213289.249174,53.98,g
1651213290.256925,53.98,g
1651213291.258186,53.98,g
1651213292.2606668,53.98,g
1651213293.2629218,53.98,g
1651213294.2675722,53.98,g
1651213295.2716787,53.98,g
1651213296.2735324,53.98,g
1651213297.2752893,53.98,g
1651213298.2853,53.98,g
1651213299.2907887,53.98,g
1651213300.2998128,53.98,g
1651213301.31287,53.98,g
1651213302.3135428,53.98,g
1651213303.3155894,53.98,g
1651213304.327229,53.98,g
1651213305.330939,53.98,g
1651213306.3317773,53.98,g
1651213307.3351407,53.98,g
1651213308.3503094,53.98,g
1651213309.3536224,53.98,g
1651213310.3595474,53.98,g
1651213311.366423,53.98,g
1651213312.3805897,53.97,g
1651213313.394316,53.98,g
1651213314.3991067,53.98,g
time,scaleWeight,scaleUnit
1651213340.22543,0.0,g
1651213341.235142,53.96,g
1651213342.2375429,53.96,g
